title,price,link
"Acer [Smartchoice] Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","43,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfYXRmOjMwMDE3MzA5NzY2MDYzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTLXMMC%2Fref%3Dsr_1_1_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfYXRmOjMwMDEwNDYwMzQ5NzQzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_2_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS  ","25,990",https://amazon.in//ASUS-SmartChoice-Integrated-Fingerprint-X515MA-BR024WS/dp/B0C1GM4C6V/ref=sr_1_7?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-7
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","13,799",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_8?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-8
"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU  ","36,980",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_9?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-9
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU  ","52,990",https://amazon.in//HP-i5-1235U-15-6-inch-Graphics-fy5009TU/dp/B0D4M66F6R/ref=sr_1_10?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-10
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","50,150",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfbXRmOjMwMDI5MTM2Nzc3MTczMjo6MDo6&url=%2FDell-15-Processor-Antivirus-Spill-Resistant%2Fdp%2FB0BQJ7WR2R%2Fref%3Dsr_1_11_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfbXRmOjMwMDE2NTM3MDM0NjIzMjo6MDo6&url=%2FLenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN%2Fdp%2FB0CY2LDT1S%2Fref%3Dsr_1_12_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","34,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_13?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-13
"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","34,990",https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_14?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-14
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","24,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_15?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-15
"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS  ","26,990",https://amazon.in//ASUS-Vivobook-Intel-Celeron-39-62cm/dp/B0D81DRTXQ/ref=sr_1_16?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-16
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","32,490",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_3?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-3
"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg  ","24,990",https://amazon.in//ZEBRONICS-Processor-15-6-Inch-Display-Midnight/dp/B0CJJ7YZMC/ref=sr_1_17?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-17
